Código,Descrição,Tradução,Causas,Recomendações,Consequências,Peso,Causes,Recomendações EN
542--2,"Oil Pressure Sensor - Before Filter: Erratic, Intermitent or Incorrect","Sensor de Pressão Óleo Lubrificante - Antes do Filtro - Errado, Intermitente ou Incorreto","Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
542--3,Engine Oil Pressure Sensor - Before Oil Filter:Voltage Above Normal,Sensor de pressão de óleo lubrificante - Antes do Filtro: Voltagem alta,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
590--9,Engine Control Module:Abnormal Update Rate,Módulo de Controle do Motor: Taxa anormal de atualização,"Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor (ECM) defeituoso, chicote defeituoso.",Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,,0.0,"Main ECM communication failure with other engine devices. Motor control module (ECM) defective, defective whip.",Checking the motor control module and checking the whips and connectors that interconnect the motor sensors with the ECM.
617--5,Inlet Air Heater Relay:Current Below Normal,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,,"Defective sensor, defective or disconnected interconnect cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
651--06,Engine Injector Cylinder #01 Current Above Normal,Cilindro #1 injetor: Corrente acima do normal,"O ECM detecta um curto circuito. Normalmente, problemas com o solenóide do injetor ocorrem quando o motor está aquecido e/ou quando o motor está sob vibração (cargas pesadas)","Realizar um Teste de solenóide do injetor, Inspecione os conectores elétricos e a fiação, Execute um Teste de Corte do Cilindro, Verifique o chicote entre o ECM e a base da tampa da válvula em busca de um circuito aberto, Verifique o chicote entre o ECM e a tampa da válvula em busca de um curto-circuito, 
Verifique o chicote do injetor sob a tampa da válvula em busca de um circuito aberto ou um curto-circuito, Verifique se o ECM está em operação adequada.",,1.0,"The ECM detects a short circuit. Usually, problems with the injector solenoid occur when the engine is heated and / or when the engine is under vibration (heavy loads)","Performing a gun solenoid test, inspect electrical connectors and wiring, perform a cylinder cutting test, check the whip between the ECM and the base of the valve cover in search of an open circuit, check the whip between the ECM and the valve cover in search of a short circuit,
Check the injector whip under the valve cover in search of an open circuit or a short circuit, verify that the ECM is in proper operation."
653--06,Engine Injector Cylinder #03 Current Above Normal,Cilindro #3 injetor: Corrente acima do normal,"O ECM detecta um curto circuito. Normalmente, problemas com o solenóide do injetor ocorrem quando o motor está aquecido e/ou quando o motor está sob vibração (cargas pesadas)","Realizar um Teste de solenóide do injetor, Inspecione os conectores elétricos e a fiação, Execute um Teste de Corte do Cilindro, Verifique o chicote entre o ECM e a base da tampa da válvula em busca de um circuito aberto, Verifique o chicote entre o ECM e a tampa da válvula em busca de um curto-circuito, 
Verifique o chicote do injetor sob a tampa da válvula em busca de um circuito aberto ou um curto-circuito, Verifique se o ECM está em operação adequada.",,1.0,"The ECM detects a short circuit. Usually, problems with the injector solenoid occur when the engine is heated and / or when the engine is under vibration (heavy loads)","Performing a gun solenoid test, inspect electrical connectors and wiring, perform a cylinder cutting test, check the whip between the ECM and the base of the valve cover in search of an open circuit, check the whip between the ECM and the valve cover in search of a short circuit,
Check the injector whip under the valve cover in search of an open circuit or a short circuit, verify that the ECM is in proper operation."
654--06,Engine Injector Cylinder #04 Current Above Normal,Cilindro #4 injetor: Corrente acima do normal,"O ECM detecta um curto circuito. Normalmente, problemas com o solenóide do injetor ocorrem quando o motor está aquecido e/ou quando o motor está sob vibração (cargas pesadas)","Realizar um Teste de solenóide do injetor, Inspecione os conectores elétricos e a fiação, Execute um Teste de Corte do Cilindro, Verifique o chicote entre o ECM e a base da tampa da válvula em busca de um circuito aberto, Verifique o chicote entre o ECM e a tampa da válvula em busca de um curto-circuito, 
Verifique o chicote do injetor sob a tampa da válvula em busca de um circuito aberto ou um curto-circuito, Verifique se o ECM está em operação adequada.",,1.0,"The ECM detects a short circuit. Usually, problems with the injector solenoid occur when the engine is heated and / or when the engine is under vibration (heavy loads)","Performing a gun solenoid test, inspect electrical connectors and wiring, perform a cylinder cutting test, check the whip between the ECM and the base of the valve cover in search of an open circuit, check the whip between the ECM and the valve cover in search of a short circuit,
Check the injector whip under the valve cover in search of an open circuit or a short circuit, verify that the ECM is in proper operation."
654--5,Engine Injector Cylinder #04:Current Below Normal,,"Normalmente, problemas com o solenóide do injetor ocorrem quando o motor é aquecido e / ou quando o motor está sob vibração (cargas pesadas). ","Inspecione os conectores elétricos e a fiação, realize o ""Teste de corte do cilindro"", verifique o chicote entre o ECM e os conectores do injetor em busca de um circuito aberto.",,1.0,"Normally, problems with the injector solenoid occur when the engine is heated and / or when the engine is under vibration (heavy loads).","Inspect the electrical connectors and wiring, perform the ""cylinder cutting test"", check the whip between ECM and the injector connectors in search of an open circuit."
655--06,Engine Injector Cylinder #09 Current Above Normal,Cilindro #5 injetor: Corrente acima do normal,"O ECM detecta um curto circuito. Normalmente, problemas com o solenóide do injetor ocorrem quando o motor está aquecido e/ou quando o motor está sob vibração (cargas pesadas)","Realizar um Teste de solenóide do injetor, Inspecione os conectores elétricos e a fiação, Execute um Teste de Corte do Cilindro, Verifique o chicote entre o ECM e a base da tampa da válvula em busca de um circuito aberto, Verifique o chicote entre o ECM e a tampa da válvula em busca de um curto-circuito, 
Verifique o chicote do injetor sob a tampa da válvula em busca de um circuito aberto ou um curto-circuito, Verifique se o ECM está em operação adequada.",,1.0,"The ECM detects a short circuit. Usually, problems with the injector solenoid occur when the engine is heated and / or when the engine is under vibration (heavy loads)","Performing a gun solenoid test, inspect electrical connectors and wiring, perform a cylinder cutting test, check the whip between the ECM and the base of the valve cover in search of an open circuit, check the whip between the ECM and the valve cover in search of a short circuit,
Check the injector whip under the valve cover in search of an open circuit or a short circuit, verify that the ECM is in proper operation."
659--5,Cylinder #9 Injector:Current Below Normal,,"Normalmente, problemas com o solenóide do injetor ocorrem quando o motor é aquecido e / ou quando o motor está sob vibração (cargas pesadas). ","Inspecione os conectores elétricos e a fiação, realize o ""Teste de corte do cilindro"", verifique o chicote entre o ECM e os conectores do injetor em busca de um circuito aberto.",,1.0,"Normally, problems with the injector solenoid occur when the engine is heated and / or when the engine is under vibration (heavy loads).","Inspect the electrical connectors and wiring, perform the ""cylinder cutting test"", check the whip between ECM and the injector connectors in search of an open circuit."
661--5,Engine Injector Cylinder #11:Current Below Normal,,"Injetor defeituoso, cabo de interligação defeituoso.",Checagem do injetor e cabos de interligação; Troca do injetor e cabos de interligação.,,1.0,"Defective gun, defective interconnection cable.",Checking the injector and interconnection cables; Injector exchange and interconnection cables.
678--4,ECU 8 Volts DC Supply:Voltage Below Normal,,Tensão de 8V: Voltagem acima do normal. A alimentação 8vdc é fornecida pelo ECM e sua alteração pode indicar o mau funcionamento do mesmo.,Verificação do ECM e da estabilidade da tensão 8vdc para sensores; Verificação do chicote de interligação em busca de possíveis curtos na alimentação de todos os sensores 8vdc do motor.,,1.0,8V voltage: voltage above normal. 8VDC feed is provided by ECM and its change may indicate the malfunction of it.,Verification of ECM and stability of the 8VDC voltage for sensors; Checking the interconnection harness in search of possible possible in the power of all 8VDC motor sensors.
703--13,Auxiliary I/O #03,,Ativação de equipamento auxiliar.,Alerta apenas informativo.,,1.0,Activation of auxiliary equipment.,Alert only informative.
723--8,"Engine Speed Sensor #2:Abnormal Frequency, Pulse Width, or Period","Sensor de velocidade do motor #2: Frequência anormal, largura de pulso, ou período","
Voltagem da bateria para o ECM principal, Perda do sinal primário de pulsação ECM, Códigos de diagnóstico para as solenóides do injetor, Condição de excesso de velocidade do motor","
Estabelecer comunicação com o ECM principal. Se a comunicação com o ECM primário não puder ser estabelecida, verifique se a tensão está presente no ECM principal. Verifique se o fio que transporta o sinal de pulso do ECM principal para o ECM secundário não tem uma abertura ou se o fio não está em curto.",,1.0,"Battery voltage for main ECM, loss of ECM pulse primary signal, diagnostic codes for injector solenoids, engine speed condition","Communication with the main ECM. If communication with the primary ECM can not be established, verify that the voltage is present in the main ECM. Verify that the wire that transports the main ECM pulse signal to the secondary ECM does not have an aperture or if the wire is not short."
827--8,"Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",Sensor de temperatura de exaustão - Bancada da Esquerda: Sinal anormal,Instabilidade no Sensor de temperatura de exaustão - Bancada da Esquerda.,Monitorar o sinal de temperatura de exaustão recebido pelo ECM do motor através do CAT ET.,,1.0,Instability in the exhaust temperature sensor - left countertop.,Monitor the exhaust temperature signal received by the motor ECM through Cat ET.
828--8,"Right Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",Sensor de temperatura de exaustão - Bancada da Direita: Sinal anormal,Instabilidade no Sensor de temperatura de exaustão - Bancada da direita.,Monitorar o sinal de temperatura de exaustão recebido pelo ECM do motor através do CAT ET.,,1.0,Instability in the exhaust temperature sensor - right bench.,Monitor the exhaust temperature signal received by the motor ECM through Cat ET.
91--13,Throttle Position Sensor: Out of Calibration,Sensor de Posição do Acelerador: Fora da Calibração,Falta de calibração sensor de posição do acelerador.,A calibração do sensor de posição do acelerador requer o uso do Cat ET.,,1.0,Lack of accelerator position sensor calibration.,The accelerator position sensor calibration requires the use of Cat ET.
91--3,Throttle Position Sensor:Voltage Above Normal,,"Sensor defeituoso ou descalibrado , cabo de interligação defeituoso.","Checar calibragem do sensor, checar cabo de interligação ",,1.0,"Defective or decalibrated sensor, defective interconnection cable.","Check sensor calibration, check interconnection cable"
91--4,Throttle Position Sensor:Voltage Below Normal,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,,"Defective sensor, defective or disconnected interconnect cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
91--8,"Throttle Position Sensor:Abnormal Frequency, Pulse Width, or Period",Sensor de posição do acelerador: Sinal anormal,Instabilidade no sinal de posição do acelerador.,Monitorar o sinal de posição do acelerador recebido pelo ECM do motor através do CAT ET. Verificar a estabilidade do sinal quando o acelerador está parado e sua calibração,,1.0,Instability in the accelerator position signal.,Monitor the accelerator position signal received by the engine ECM through Cat ET. Check the signal stability when the accelerator is stopped and its calibration
94--11,Engine Fuel Delivery Pressure:Other Failure Mode,,Falha desconhecida.,Existe condição de falha ativa desconhecida. O sintoma deve ser investigado localmente.,,1.0,Unknown failure.,There is unknown active failure condition. The symptom should be investigated locally.
94--15,Engine Fuel Delivery Pressure:High - least severe (1),Alta pressão de entrada de Combustível,Aumento de pressão de combustível; Necessidade de troca do filtro de combustível; Instalação incorreta dos sensores de pressão de entrada/saída de combustível. Possível falha do regulador de pressão de combustível. Possível falha na válvula de alívio de pressão da bomba de transferência de combustível. ,Checagem do posicionamento de instalação dos sensores de pressão; Troca dos filtros de combustível. Verificar linhas de combustível em busca de restrições no retorno de combustível.,,1.0,Increased fuel pressure; Need to exchange fuel filter; Incorrect installation of the inlet / fuel output sensors. Possible fuel regulator failure. Possible failure in the pressure relief valve of the fuel transfer pump.,Checking the installation positioning of the pressure sensors; Exchange of fuel filters. Check fuel lines in search of restrictions on fuel return.
94--17,Engine Fuel Delivery Pressure Low ,Baixa Pressão de Combustível na Entrada,"Nível de combustível, Tampa do tanque de combustível, Sensores de pressão de combustível, Válvula reguladora de pressão de combustível, Bomba de escorva de combustível (se equipada), Bomba de transferência de combustível, Necessidade de troca do filtro de combustível.","Verificar nível do tanque de combustível, verificar tampa/respiro do tanque em busca de detritos, verificar sensores de combustível, verificar bomba de escorva de combustível, verificar bomba de transferência de combustível, verificar a vida útil dos filtros de combustível.",,1.0,"Fuel level, fuel tank cap, fuel pressure sensors, fuel pressure regulator valve, fuel pump (if equipped), fuel transfer pump, need to exchange fuel filter.","Checking fuel tank level, check tank lid / breather for debris, check fuel sensors, check fuel priming pump, fuel transfer pump, check the life of fuel filters."
94--2,"Fuel Delivery Pressure Sensor: Erratic, Intermittent, or Incorrect","Sensor de pressão de entrada de combustível - Errado, Intermitente ou Incorreto","Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
94--3,Fuel Delivery Pressure Sensor:Voltage Above Normal,Sensor de Pressão de Entrada de Combustível - Voltagem Alta,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
94--4,Fuel Delivery Pressure Sensor:Voltage Below Normal,Sensor de Pressão de Entrada de Combustível - Tensão abaixo do normal,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
95--15,Engine Fuel Filter Differential Pressure:High - least severe (1),,Aumento do diferencial de pressão no filtro de combustível; Necessidade de troca do filtro de combustível; Instalação incorreta dos sensores de pressão de entrada/saída de combustível.,Checagem do posicionamento de instalação dos sensores de pressão; Troca dos filtros de combustível.,,1.0,Increased pressure differential in the fuel filter; Need to exchange fuel filter; Incorrect installation of the inlet / fuel output sensors.,Checking the installation positioning of the pressure sensors; Exchange of fuel filters.
970--2,"Engine Auxiliary Engine Shutdown Switch:Erratic, Intermittent, or Incorrect",,"Botoeira defeituoso, cabo de interligação defeituoso.",Checagem do botoeira e cabos de interligação; Troca do botoeira e cabos de interligação.,,2.0,"Defective button, defective interconnection cable.",Checking the button and interconnection cables; Botoira exchange and interconnection cables.
970--31,Engine Auxiliary Engine Shutdown Switch,,Botoeira de parada do motor auxiliar pressionada.,Verificar o correto funcionamento das botoeiras de parada.,,2.0,Pressed auxiliary motor stop button.,Check the correct operation of the stops.
974--5,Remote Accelerator Pedal Position:Current Below Normal,Posição do Pedal do acelerador - Corrente abaixo do normal,"Falha no sinal do acelerador do motor. Sensor defeituoso, chicote defeituoso, sensor desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Motor accelerator signal failure. Defective sensor, defective whip, disconnected sensor.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
99--15,Engine Oil Filter Differential Pressure:High - least severe (1),,Aumento do diferencial de pressão no filtro de combustível; Necessidade de troca do filtro de combustível; Instalação incorreta dos sensores de pressão de entrada/saída de combustível.,Checagem do posicionamento de instalação dos sensores de pressão; Troca dos filtros de combustível.,,1.0,Increased pressure differential in the fuel filter; Need to exchange fuel filter; Incorrect installation of the inlet / fuel output sensors.,Checking the installation positioning of the pressure sensors; Exchange of fuel filters.
E100,Low Engine Oil Pressure Warning,Baixa pressão de óleo lubrificante,"Baixo nível de óleo lubrificante, óleo lubrificante contaminado, viscosidade incorreta, sensores de pressão de óleo defeituosos, circulação imprópria do óleo lubrificante, componentes desgastados. Essa falha, caso não tratada, pode gerar consequências catastróficas nos motores.","Checar o nível de óleo,qualidade e viscosidade, verificar se o filtro de óleo está obstruido",,1.0,"Low level of lubricating oil, contaminated lubricant oil, incorrect viscosity, defective oil pressure sensors, improper circulation of lubricating oil, worn components. This failure, if not treated, can generate catastrophic consequences on engines.","Check the level of oil, quality and viscosity, check if the oil filter is obstructed"
E101(1),High Crankcase Pressure Warning,Pressão do cárter acima do limite por um longo período de tempo - Alerta,Respiro do cárter bloqueado/coagulado. Desgaste excessivo dos componentes do motor.,"Checagem do blowby, guias de válvulas, selos do turbocompressor, respiro do motor/separador de óleo. O incorreto funcionamento do respiro do motor também pode causar vazamentos nos retentores do eixo virabrequim, pela elevada pressão no cárter.",,1.0,Breath of blocked / coagulated crankcase. Excessive wear of the engine components.,"Blowby check, valve guides, turbocompressor seals, motor breather / oil separator. The incorrect operation of the motor breather can also cause leaks in the retrofitted axis, by the high pressure on the crankcase."
E105,Turbocharger Turbine Inlet Air Temperature High,,"Alta temperatura de ar ambiente, Alta temperatura do líquido de arrefecimento, Restrição de entrada de ar e/ou elevada altitude, Sensor de temperatura de ar de entrada com defeito e/ou circuito, Fluxo insuficiente de água de resfriamento através do pós-arrefecedor, Fluxo insuficiente de ar através do pós-arrefecedor.","Verificar alta temperatura de ar ambiente, Verificar temperatura de arrefecimento, Verificar se há alta restrição de ar na entrada e/ou altitude elevada, Verificar o sensor de temperatura de ar do coletor de admissão e/ou o circuito, Verificar se há fluxo suficiente de líquido de arrefecimento através do aftercooler, Verificat se há fluxo de ar suficiente através do aftercooler.",,1.0,"High ambient air temperature, high temperature of the coolant, air inlet restriction and / or high altitude, defective inlet air temperature sensor and / or circuit, insufficient flow of cooling water through theaftercooler, Insufficient flow of air through theaftercooler.","Check high temperature of ambient air, check cooling temperature, check for high air restriction in the inlet and / or high altitude, check the intake collector air temperature sensor and / or circuit, check for sufficient flow Cooling liquid through aftercooler, verify if there is enough airflow through afterCooler."
E106,Air Inlet Pressure Sensor:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective or disconnected interconnect cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
E12(2),High Crankcase Pressure Derate,Alta pressão no Cárter com Desaceleração,"Componentes do motor desgastados, Respiro do cárter obstruído","Checagem do blowby, guias de válvulas, selos do turbocompressor, respiro do motor/separador de óleo. O incorreto funcionamento do respiro do motor também pode causar vazamentos nos retentores do eixo virabrequim, pela elevada pressão no cárter.",,2.0,"Worn engine components, clogged cranky breather","Blowby check, valve guides, turbocompressor seals, motor breather / oil separator. The incorrect operation of the motor breather can also cause leaks in the retrofitted axis, by the high pressure on the crankcase."
E127,Engine Oil Filter Diff Pressure Low Warning,,"Baixo nível de óleo lubrificante, óleo lubrificante contaminado, viscosidade incorreta, sensores de pressão de óleo defeituosos, circulação imprópria do óleo lubrificante, componentes desgastados. Essa falha, caso não tratada, pode gerar consequências catastróficas nos motores.","Checar o nível de óleo,qualidade e viscosidade, verificar se o filtro de óleo está obstruido",,1.0,"Low level of lubricating oil, contaminated lubricant oil, incorrect viscosity, defective oil pressure sensors, improper circulation of lubricating oil, worn components. This failure, if not treated, can generate catastrophic consequences on engines.","Check the level of oil, quality and viscosity, check if the oil filter is obstructed"
E13(3),High Crankcase Pressure Shutdown,Alta pressão no Cárter com Shutdown,"Componentes do motor desgastados, Respiro do cárter obstruído","Checagem do blowby, guias de válvulas, selos do turbocompressor, respiro do motor/separador de óleo. O incorreto funcionamento do respiro do motor também pode causar vazamentos nos retentores do eixo virabrequim, pela elevada pressão no cárter.",,2.0,"Worn engine components, clogged cranky breather","Blowby check, valve guides, turbocompressor seals, motor breather / oil separator. The incorrect operation of the motor breather can also cause leaks in the retrofitted axis, by the high pressure on the crankcase."
E135,Low Jacket Water Pressure Shutdown,,Aquecedor de jaqueta bloqueado/coagulado. Desgaste excessivo dos componentes.,"Checar o nível de líquidos, qualidade e viscosidade; Verificar filtros.",,2.0,Blocked / coagulated jacket heater. Excessive wear of the components.,"Check the level of liquids, quality and viscosity; Check filters."
E15,High Engine Coolant Temperature Derate,Alta temperatura do líquido de arrefecimento do motor,"Baixo nível do líquido de arrefecimento, qualidade do refrigerante, ar no sistema de arrefecimento, radiador, vazamento de refrigerante, ventilador de refrigeração do radiador defeituoso (se aplicável), mangueiras danificadas, regulador de temperatura com defeito, bomba de líquido arrefecedor de água com revestimento defeituoso, aftecooler ou carga excessiva no sistema.","Inspecionar o nível do líquido de arrefecimento e Verificar sua qualidade, Verificar presença de ar no sistema de arrefecimento, Verificar as aletas de refrigeração no radiador. Verificar o sistema de arrefecimento quanto a vazamentos. Verificar se o motor não está com sobrecarga.",,2.0,"Low level of coolant, refrigerant quality, air coolant, radiator, refrigerant leak, defective radiator cooling fan (if applicable), damaged hoses, defective temperature regulator, water cooler pump with Defective coating, Aftecooler or excessive load in the system.","Inspect the coolant level and check your quality, check air presence in the cooling system, check the cooling fins on the radiator. Check the cooling system for leaks. Check that the engine is not overloaded."
E16(3),High Engine Coolant Temperature Shutdown,Alta temperatura de arrefecimento - Shutdown,"Baixo nível do líquido de arrefecimento, ar no sistema de arrefecimento, vazamento de fluido, mangueiras danificadas, aftercooler defeituoso, bomba de líquido arrefecedor de água com revestimento defeituoso.","Verificar se o motor está operando com cargas muito altas. Verificar regulador de temperatura, se existe ar no sistema de arrefecimento, vazamento de fluido de arrefecimento, mangueiras danificadas e/ou aftercooler defeituoso.",,2.0,"Low level of cooling liquid, air in cooling system, fluid leakage, damaged hoses, defective aftercooler, defective water cooler pump with defective coating.","Check that the engine is operating with very high loads. Check temperature regulator, if there is air in the cooling system, cooling fluid leak, damaged hoses and / or defective aftercooler."
E17(1),High Engine Coolant Temperature Warning,Aviso de Temperatura Elevada do Líquido Arrefecedor do Motor,"Baixo nível do líquido de arrefecimento, qualidade do refrigerante, ar no sistema de arrefecimento, radiador, vazamento de refrigerante, ventilador de refrigeração do radiador defeituoso (se aplicável), mangueiras danificadas, regulador de temperatura com defeito, bomba de líquido arrefecedor de água com revestimento defeituoso, aftecooler ou carga excessiva no sistema.","Inspecionar o nível do líquido de arrefecimento e Verificar sua qualidade, Verificar presença de ar no sistema de arrefecimento, Verificar as aletas de refrigeração no radiador. Verificar o sistema de arrefecimento quanto a vazamentos. Verificar se o motor não está com sobrecarga.",,1.0,"Low level of coolant, refrigerant quality, air coolant, radiator, refrigerant leak, defective radiator cooling fan (if applicable), damaged hoses, defective temperature regulator, water cooler pump with Defective coating, Aftecooler or excessive load in the system.","Inspect the coolant level and check your quality, check air presence in the cooling system, check the cooling fins on the radiator. Check the cooling system for leaks. Check that the engine is not overloaded."
E17(2),High Engine Coolant Temperature Derate,Alta temperatura do líquido de arrefecimento do motor,"Baixo nível do líquido de arrefecimento, qualidade do refrigerante, ar no sistema de arrefecimento, radiador, vazamento de refrigerante, ventilador de refrigeração do radiador defeituoso (se aplicável), mangueiras danificadas, regulador de temperatura com defeito, bomba de líquido arrefecedor de água com revestimento defeituoso, aftecooler ou carga excessiva no sistema.","Inspecionar o nível do líquido de arrefecimento e Verificar sua qualidade, Verificar presença de ar no sistema de arrefecimento, Verificar as aletas de refrigeração no radiador. Verificar o sistema de arrefecimento quanto a vazamentos. Verificar se o motor não está com sobrecarga.",,2.0,"Low level of coolant, refrigerant quality, air coolant, radiator, refrigerant leak, defective radiator cooling fan (if applicable), damaged hoses, defective temperature regulator, water cooler pump with Defective coating, Aftecooler or excessive load in the system.","Inspect the coolant level and check your quality, check air presence in the cooling system, check the cooling fins on the radiator. Check the cooling system for leaks. Check that the engine is not overloaded."
E171,Low Engine Oil Level,,"Baixo nível de óleo lubrificante, óleo lubrificante contaminado, viscosidade incorreta, sensores de pressão de óleo defeituosos, circulação imprópria do óleo lubrificante, componentes desgastados. Essa falha, caso não tratada, pode gerar consequências catastróficas nos motores.","Checar o nível de óleo, qualidade e viscosidade, verificar se o filtro de óleo está obstruído",,1.0,"Low level of lubricating oil, contaminated lubricant oil, incorrect viscosity, defective oil pressure sensors, improper circulation of lubricating oil, worn components. This failure, if not treated, can generate catastrophic consequences on engines.","Check the oil level, quality and viscosity, check if the oil filter is obstructed"
E173(1),High Exhaust Temperature Warning,Alerta de Alta Temperatura de Gasas de Descarga,"Restrição da vazão de ar de admissão, vazamento no coletor de admissão ou descarga, retrição na descarga, injetores defeituosos, redução de performance do aftercooler.","Chegagem da entrada de ar do motor a procura de restrições ou vazamentos, checagem do coletor de descarga a procura de vazamentos entre o coletor e o turbo-compressor, checagem da saída da descarga de gases a procura de restrições ou alta co ntra-pressão, checagem da performance dos injetores, checagem do aftercooler a procura de vazamentos ou entupimento das aletas internas.",,1.0,"Restriction of the intake air flow, leakage in the admission or discharge collector, retrieval in discharge, defective guns, aftercooler performance reduction.","The search for restrictions or leaks, discharge collector checking the search for leaks between the collector and the turbo-compressor, checking the exit of the gas discharge to the demand for restrictions or high co-pressure, Checking the performance of the injectors, aftercooler checking the search for leaks or clogging of the internal fins."
E174,Engine Fuel Temperature 1:High - least severe (1),,"Válvula reguladora de pressão de combustível, Nível de combustível, Linhas de combustível, Motor superaquecido.","Inspecionar a válvula reguladora de pressão de combustível de retorno. Certificar-se de que o tanque de combustível contém combustível suficiente. À medida que o nível do tanque de combustível diminui, a temperatura do combustível geralmente aumenta. Certificar-se de que o fluxo de retorno de combustível para o tanque de combustível não esteja obstruído. ",,1.0,"Fuel pressure regulator valve, fuel level, fuel lines, overheated motor.","Inspect the return fuel pressure regulator valve. Make sure the fuel tank contains enough fuel. As the level of the fuel tank decreases, the fuel temperature generally increases. Make sure that the fuel return flow to the fuel tank is not obstructed."
E19,High Engine Oil Temperature Shutdown,,"Baixo nível de óleo lubrificante, óleo lubrificante contaminado, viscosidade incorreta, sensores de pressão de óleo defeituosos, circulação imprópria do óleo lubrificante, componentes desgastados. Essa falha, caso não tratada, pode gerar consequências catastróficas nos motores.","Checar o nível de óleo,qualidade e viscosidade, verificar se o filtro de óleo está obstruido",,2.0,"Low level of lubricating oil, contaminated lubricant oil, incorrect viscosity, defective oil pressure sensors, improper circulation of lubricating oil, worn components. This failure, if not treated, can generate catastrophic consequences on engines.","Check the level of oil, quality and viscosity, check if the oil filter is obstructed"
E190(1),Engine Overspeed Warning,Sobrevelocidade do motor - Alerta,Remoção de carga brusca no motor; Ar de admissão combustível.,Diminuição gradual de carga desse motor. Análise da atmosfera do ar de admissão do motor.,,1.0,Removal of abrupt load in the engine; Air of fuel admission.,Gradual load of this engine. Analysis of the air intake air atmosphere.
E194,High Exhaust Temperature,,"Restrição da vazão de ar de admissão, vazamento no coletor de admissão ou descarga, retrição na descarga, injetores defeituosos, redução de performance do aftercooler.","Chegagem da entrada de ar do motor a procura de restrições ou vazamentos, checagem do coletor de descarga a procura de vazamentos entre o coletor e o turbo-compressor, checagem da saída da descarga de gases a procura de restrições ou alta co ntra-pressão, checagem da performance dos injetores, checagem do aftercooler a procura de vazamentos ou entupimento das aletas internas.",,1.0,"Restriction of the intake air flow, leakage in the admission or discharge collector, retrieval in discharge, defective guns, aftercooler performance reduction.","The search for restrictions or leaks, discharge collector checking the search for leaks between the collector and the turbo-compressor, checking the exit of the gas discharge to the demand for restrictions or high co-pressure, Checking the performance of the injectors, aftercooler checking the search for leaks or clogging of the internal fins."
E197,High Engine Oil Temperature,,"Baixo nível de óleo lubrificante, óleo lubrificante contaminado, viscosidade incorreta, sensores de pressão de óleo defeituosos, circulação imprópria do óleo lubrificante, componentes desgastados. Essa falha, caso não tratada, pode gerar consequências catastróficas nos motores.","Checar o nível de óleo,qualidade e viscosidade, verificar se o filtro de óleo está obstruido",,1.0,"Low level of lubricating oil, contaminated lubricant oil, incorrect viscosity, defective oil pressure sensors, improper circulation of lubricating oil, worn components. This failure, if not treated, can generate catastrophic consequences on engines.","Check the level of oil, quality and viscosity, check if the oil filter is obstructed"
E198(3),Low Fuel Pressure,Baixa pressão de combustível,"Tampa do tanque de combustível, Válvula reguladora de pressão de combustível, Válvula de alívio de pressão de combustível, Nível de combustível.","Verificar tampa do tanque de combustível, válvula reguladora de pressão de combustível, válvula de alívio de p ressão de combustível e nível de combustível.",,1.0,"Fuel tank cover, fuel pressure regulator valve, fuel pressure relief valve, fuel level.","Check fuel tank cover, fuel pressure regulator valve, fuel rearing valve and fuel level."
